frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
705	2285	339	382.5	181.0	255.0	233.0406698564593	right	right_tank1	223.0	
705	300	385	108.0	181.0	255.0	225.1428571428572	left	left_tank1	115.0	match
705	2196	403	80.0	181.0	255.0	232.7142857142857	right	right_tank1	134.0	match
706	377	288	304.0	181.0	243.0	214.00284900284905	left	left_tank1	192.0	match
706	2176	311	14.0	181.0	201.0	200.22727272727272	right	right_tank1	114.0	
706	2286	308	195.5	181.0	245.0	213.07725321888407	right	right_tank1	224.0	match
706	2276	318	10.5	181.0	233.0	210.68421052631572	right	right_tank1	214.0	match
706	261	311	314.0	182.0	255.0	229.29142857142853	left	left_tank1	76.0	match
706	376	314	433.0	181.0	255.0	233.59336099585065	left	left_tank1	191.0	match
706	2171	326	303.5	181.0	255.0	234.57478005865104	right	right_tank1	109.0	match
706	475	335	10.5	183.0	241.0	213.2941176470588	left	left_tank1	290.0	match
706	2285	338	409.5	181.0	255.0	231.2566371681416	right	right_tank1	223.0	match
706	299	385	99.5	181.0	255.0	233.59322033898303	left	left_tank1	114.0	match
706	2197	403	80.5	181.0	255.0	224.7142857142857	right	right_tank1	135.0	match
707	376	286	288.0	174.0	255.0	217.3598820058997	left	left_tank1	191.0	match
707	2286	304	15.0	181.0	202.0	203.0	right	right_tank1	224.0	match
707	263	310	286.0	181.0	255.0	230.43343653250776	left	left_tank1	78.0	match
707	2288	314	114.0	178.0	245.0	216.0071942446044	right	right_tank1	226.0	match
707	375	313	400.5	181.0	255.0	229.997722095672	left	left_tank1	190.0	match
707	2171	328	284.0	181.0	255.0	236.978125	right	right_tank1	109.0	match
707	2284	338	400.0	181.0	255.0	232.0871559633028	right	right_tank1	222.0	
707	299	384	107.0	181.0	255.0	233.8031496062992	left	left_tank1	114.0	match
707	2197	403	81.5	182.0	255.0	225.5841584158416	right	right_tank1	135.0	match
708	375	289	214.5	181.0	255.0	208.9558823529412	left	left_tank1	190.0	match
708	2277	315	15.5	181.0	214.0	208.7692307692308	right	right_tank1	215.0	match
708	261	310	317.0	181.0	255.0	237.87535410764875	left	left_tank1	76.0	match
708	375	313	389.5	181.0	255.0	231.8785046728972	left	left_tank1	190.0	match
708	2170	325	283.5	181.0	255.0	235.12698412698413	right	right_tank1	108.0	match
708	2285	327	630.5	164.0	255.0	227.11237553342812	right	right_tank1	223.0	match
708	2288	316	13.5	164.0	185.0	193.47619047619045	right	right_tank1	226.0	
708	300	386	77.0	182.0	255.0	228.76344086021507	left	left_tank1	115.0	match
708	2197	403	87.5	181.0	255.0	233.36792452830187	right	right_tank1	135.0	match
709	375	280	26.5	181.0	208.0	203.91666666666663	left	left_tank1	190.0	match
709	378	292	72.5	181.0	245.0	212.2395833333333	left	left_tank1	193.0	match
709	261	311	247.0	181.0	255.0	230.31768953068595	left	left_tank1	76.0	match
709	376	314	346.0	181.0	248.0	224.89182058047493	left	left_tank1	191.0	match
709	2171	326	289.0	181.0	255.0	232.17956656346752	right	right_tank1	109.0	match
709	2285	327	625.5	166.0	255.0	227.69718309859155	right	right_tank1	223.0	match
709	2289	314	17.5	166.0	194.0	193.6153846153846	right	right_tank1	227.0	match
709	300	385	78.5	181.0	255.0	230.04210526315788	left	left_tank1	115.0	
709	2198	404	88.5	181.0	255.0	233.80952380952385	right	right_tank1	136.0	match
710	376	288	295.5	178.0	230.0	210.4550898203593	left	left_tank1	191.0	match
710	260	312	340.0	181.0	255.0	232.3872679045093	left	left_tank1	75.0	match
710	376	314	390.0	181.0	255.0	229.76346604215456	left	left_tank1	191.0	match
